Interpreter,Algorithm,DataType,Size,Time (s),PeakMemory (MB)
PyPy,Merge,Random,1000,0.0013751999940723,
PyPy,Merge,Sorted,1000,0.0002691999543458,
PyPy,Merge,Reversed,1000,0.000258200103417,
PyPy,Merge,AlmostSorted,1000,0.0003833000082522,
PyPy,Merge,Random,50000,0.0264828999061137,
PyPy,Merge,Sorted,50000,0.0059499000199139,
PyPy,Merge,Reversed,50000,0.0093183999415487,
PyPy,Merge,AlmostSorted,50000,0.0094158998690545,
PyPy,Merge,Random,1000000,0.3326399000361562,
PyPy,Merge,Sorted,1000000,0.1883398999925702,
PyPy,Merge,Reversed,1000000,0.2444882001727819,
PyPy,Merge,AlmostSorted,1000000,0.2422937001101672,
PyPy,Heap,Random,10,3.4800032153725624e-05,
PyPy,Heap,Sorted,10,3.360002301633358e-05,
PyPy,Heap,Reversed,10,2.9199989512562752e-05,
PyPy,Heap,AlmostSorted,10,3.0800001695752144e-05,
PyPy,Heap,Random,500,0.0114684998989105,
PyPy,Heap,Sorted,500,0.011907699983567,
PyPy,Heap,Reversed,500,0.0132997999899089,
PyPy,Heap,AlmostSorted,500,0.004604100016877,
PyPy,Heap,Random,1000,0.0093086999841034,
PyPy,Heap,Sorted,1000,0.0075369998812675,
PyPy,Heap,Reversed,1000,0.0066216001287102,
PyPy,Heap,AlmostSorted,1000,0.004212100058794,
PyPy,Heap,Random,50000,0.0567417000420391,
PyPy,Heap,Sorted,50000,0.0196002000011503,
PyPy,Heap,Reversed,50000,0.0150492000393569,
PyPy,Heap,AlmostSorted,50000,0.0159887999761849,
PyPy,Heap,Random,1000000,0.4352585999295115,
PyPy,Heap,Sorted,1000000,0.3058337999973446,
PyPy,Heap,Reversed,1000000,0.3437083000317216,
PyPy,Heap,AlmostSorted,1000000,0.3199903999920934,
PyPy,Counting,Random,10,5.570007488131523e-05,
PyPy,Counting,Sorted,10,2.950010821223259e-05,
PyPy,Counting,Reversed,10,1.5700003132224083e-05,
PyPy,Counting,AlmostSorted,10,1.1899974197149277e-05,
PyPy,Counting,Random,500,0.0040273000486195,
PyPy,Counting,Sorted,500,0.0005431999452412,
PyPy,Counting,Reversed,500,0.0006085000932216,
PyPy,Counting,AlmostSorted,500,0.000300700077787,
PyPy,Counting,Random,1000,6.529991514980793e-05,
PyPy,Counting,Sorted,1000,0.0002872000914067,
PyPy,Counting,Reversed,1000,0.0006478999275714,
PyPy,Counting,AlmostSorted,1000,2.9700109735131264e-05,
PyPy,Counting,Random,50000,0.0022009999956935,
PyPy,Counting,Sorted,50000,0.0017751001287251,
PyPy,Counting,Reversed,50000,0.0015241999644786,
PyPy,Counting,AlmostSorted,50000,0.0009702001698315,
PyPy,Counting,Random,1000000,0.0622533001005649,
PyPy,Counting,Sorted,1000000,0.0354724000208079,
PyPy,Counting,Reversed,1000000,0.0403162001166492,
PyPy,Counting,AlmostSorted,1000000,0.0352792998310178,
PyPy,Radix,Random,10,4.970002919435501e-05,
PyPy,Radix,Sorted,10,4.240009002387524e-05,
PyPy,Radix,Reversed,10,2.979999408125877e-05,
PyPy,Radix,AlmostSorted,10,1.9700033590197563e-05,
PyPy,Radix,Random,500,0.0029083001427352,
PyPy,Radix,Sorted,500,0.0002055999357253,
PyPy,Radix,Reversed,500,0.0012732001487165,
PyPy,Radix,AlmostSorted,500,0.0001176998484879,
PyPy,Radix,Random,1000,0.0002009000163525,
PyPy,Radix,Sorted,1000,0.0001556000206619,
PyPy,Radix,Reversed,1000,0.0001700001303106,
PyPy,Radix,AlmostSorted,1000,0.0005405999254435,
PyPy,Radix,Random,50000,0.0055066999047994,
PyPy,Radix,Sorted,50000,0.0053155999630689,
PyPy,Radix,Reversed,50000,0.0137370999436825,
PyPy,Radix,AlmostSorted,50000,0.0033233000431209,
PyPy,Radix,Random,1000000,0.2817255998961627,
PyPy,Radix,Sorted,1000000,0.2565848000813275,
PyPy,Radix,Reversed,1000000,0.2408197000622749,
